Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Lemon Herb Quinoa Salad (vgn),Green Bean Provencal Salad (v),Salads/Deli (West Side),Israeli Couscous Salad (vgn),Salads/Deli (West Side),Spinach Salad (v),Salads/Deli (West Side),Carrot & Raisin Salad (v),Salads/Deli (West Side)
Rosemary Bread (v),Sundried Tomato Roll (v),Bakery,Pinch Bread (v),Bakery,Sesame Bread (v),Bakery,Chocolate Bread (v),Bakery
Boston Cream Pie (v),Chocolate Chip Scone (vgn),Bakery,Carrot Cake w/Cream Cheese (w/nuts) (v),Bakery,Zebra Bar (w/nuts) (v),Bakery,Chocolate Chip Scone (v),Bakery
Cage Free Scrambled Eggs Vegetables (v),Vegetable Frittata (v),Grill (Cafe),Sliced Potato with Onions (vgn),Grill (Cafe),Chicken Corn Dog,Grill (Cafe),Diced Potatoes with Onions (vgn),Grill (Cafe)
Bran Muffin (v),Banana Cream Pie (v),Bakery,Spice & Walnut Cake (w/nuts) (v),Bakery,Raspberry Cream Coffee Cake (w/nuts) (v),Bakery,Peanut Butter Bar (w/nuts) (v),Bakery
Ginger Peanut Tofu Wrap (w/nuts) (vgn),Peruvian Ham Butifarra Sandwich,Blue Plate Special,Reuben Sandwich,Blue Plate Special,Italian Sub,Blue Plate Special,Turkey Pastrami & Mozzarella Sandwich,Blue Plate Special
Chicken Entomatadas,Beef Tostada,Taqueria (East Side),Chicken Fajitas,Taqueria (East Side),Black Bean Tostada (vgn),Taqueria (East Side),Chipotle Bean Flauta (vgn),Taqueria (East Side)
Tofu Mole Enchilada (vgn),Chicken and Bean Burrito,Taqueria (East Side),Chili Lime Grilled Chicken Taco,Taqueria (East Side),Chile Corn Zucchini Soft Taco (vgn),Taqueria (East Side),Bean and Cheese Burrito (v),Taqueria (East Side)
Vegetable Pizza (v),Chorizo Pizza,Pizza,Chicken Florentine Pizza w/White Sauce,Pizza,Pesto Cheese Pizza on Wheat Crust (v),Pizza,Sausage Pizza,Pizza
Tortellini with Creamy Pesto Sauce,Pesto Sauce (v),To Order,Meat Sauce,To Order,Mushroom Marinara Sauce (vgn),To Order,Creamy Bolognese Sauce,To Order
Tomato Leek Marinara (vgn),Chicken Pad Thai with Peanut (w/nuts),To Order,Ma Po Tofu (vgn),To Order,Sesame Beef with Broccoli,To Order,Whole Grain Rotini w/Tomato & Garlic(vgn,To Order
Grilled Jack on Sourdough (v),Chilaquiles de Queso (No Egg) (v),Grill (Cafe),Grilled Cheddar on White (v),Grill (Cafe),Grilled Mozzarella & Tomato on Wheat (v),Grill (Cafe),Shoestring French Fries (vgn),Grill (Cafe)
Spinach Salad (v),Israeli Couscous Salad (vgn),Salads/Deli (West Side),Carrot & Raisin Salad (v),Salads/Deli (West Side),Lemon Herb Quinoa Salad (vgn),Salads/Deli (West Side),Green Bean Provencal Salad (v),Salads/Deli (West Side)
Confetti Cake w/Butter Cream Icing (v),Oatmeal Raisin Walnut Cookie (w/nuts)(v),Bakery,Brownie (w/nuts) (v),Bakery,Blueberry Scone (vgn),Bakery,Toll House Pie (v),Bakery
Vegetable Soup (vgn),Split Pea Soup (vgn),Blue Plate Special,Tortilla Soup (vgn),Blue Plate Special,Miso Soup (vgn),Blue Plate Special,Pozole Soup with Condiments,Blue Plate Special
Salisbury Steaks,Teriyaki Chicken,Blue Plate Special,Pork Loin Roast,Blue Plate Special,Cauliflower and Broccoli (vgn),Blue Plate Special,Pork Loin Roast with Garlic & Ginger,Blue Plate Special
Mushroom Gravy,Sauteed Zucchini with Garlic (vgn),Blue Plate Special,Grilled Cajun Chicken Breast,Blue Plate Special,Eggplant Parmesan Casserole (v),Blue Plate Special,Mushroom Stroganoff (v),Blue Plate Special
Vegetable Turnover (v),Roasted Potato Halves (vgn),Blue Plate Special,Potato Latkes (v),Blue Plate Special,Sauteed Spinach w/ Onion & Garlic (vgn),Blue Plate Special,Mashed Red Potatoes (v),Blue Plate Special
Carrots with Tarragon (vgn),Fresh Sauteed Carrots (vgn),Blue Plate Special,Sauteed Crookneck Squash (vgn),Blue Plate Special,Fresh Broccoli Spears (vgn),Blue Plate Special,Steamed Zucchini (vgn),Blue Plate Special
Chicken and Black Bean Burrito,Potato Vegetable Taco (vgn),Taqueria (East Side),Quesadilla w/Roasted Poblano Chile (v),Taqueria (East Side),Bean and Cheese Hard Shell Taco (v),Taqueria (East Side),Chicken Mole Taco,Taqueria (East Side)
Grilled Vegetable Soft Taco (vgn),Beef Enchilada,Taqueria (East Side),BBQ Chicken Quesadilla,Taqueria (East Side),Potato Taco (vgn),Taqueria (East Side),Turkey Chorizo Quesadilla,Taqueria (East Side)
Chicken Madras,Dragon Noodles (vgn),To Order,Whole Grain Rotini w/Tomato & Garlic(vgn,To Order,Sesame Beef with Broccoli,To Order,Beef Pad Thai with Peanuts (w/nuts),To Order
Vegetable Tagine (vgn),Chinese Chicken w/Spring Vegetables,To Order,Brown Rice (vgn),To Order,Vegetable Chop Suey (vgn),To Order,Indonesian Tofu Fried Rice (vgn),To Order
Banana Cream Pie (v),Bran Muffin (v),Bakery,Spice & Walnut Cake (w/nuts) (v),Bakery,Raspberry Cream Coffee Cake (w/nuts) (v),Bakery,Peanut Butter Bar (w/nuts) (v),Bakery
Whole Wheat Pancakes (v),Banana Wheat Pancakes (v),Grill (Cafe),Pancakes (v),Grill (Cafe),Grilled Turkey Burger on Wheat Bun,Grill (Cafe),Veggie Burger on Whole Wheat Bun (vgn),Grill (Cafe)
Pumpkin & Walnut Muffin (w/nuts) (v),Donut Muffin (v),Bakery,Strawberry Shortcake (v),Bakery,Chocolate Flan Cake (v),Bakery,Pecan Pie Bar (w/nuts) (v),Bakery
White Bean Basque Soup (vgn),Far East Vegetable Soup (vgn),Blue Plate Special,Chickpea Vegetable Soup (vgn),Blue Plate Special,Manhattan Clam Chowder,Blue Plate Special,Chili Style Lentil Soup (vgn),Blue Plate Special
Roasted Cauliflower w/Garlic (vgn),Smoked Fish Fritters w/Beet Vinaigrette,Blue Plate Special,Fresh Steamed Carrots (vgn),Blue Plate Special,Stuffed Peppers (vgn),Blue Plate Special,Patty Melt,Blue Plate Special
Vegetable Hard Shell Taco (vgn),Beef and Bean Burrito,Taqueria (East Side),Bean and Rice Burrito (vgn),Taqueria (East Side),Bean & Rice Wet Burrito (vgn),Taqueria (East Side),Braised Brisket Taco,Taqueria (East Side)
Chorizo Pizza,Vegetable Pizza (v),Pizza,Pesto Cheese Pizza on Wheat Crust (v),Pizza,Chicken Florentine Pizza w/White Sauce,Pizza,Sausage Pizza,Pizza
Pork Stir Fry with Green Beans,Chicken & Veggie Stir Fry w/Brown Rice,To Order,Greek Pasta w/Feta Tomato & Spinach (v),To Order,Turkey Stir Fry with Brown Rice,To Order,Spicy Veg. Stir Fry w/Brown Rice (vgn),To Order
Lemon Ginger Tofu Stir Fry (vgn),Wheat Pasta w/Tomato & Basil (vgn),To Order,Veggie Stir Fry w/Thai Chili Sauce (vgn),To Order,Fettuccine Pasta (vgn),To Order,Spicy Veg. Stir Fry w/Brown Rice (vgn),To Order
Turkey Burger with BBQ Sauce on Wheat,Cheeseburger,Grill (Cafe),Grilled Ham & Swiss Sandwich,Grill (Cafe),Grilled Chicken Burger,Grill (Cafe),Grass Fed Burger,Grill (Cafe)
Israeli Couscous Salad (vgn),Spinach Salad (v),Salads/Deli (West Side),Lemon Herb Quinoa Salad (vgn),Salads/Deli (West Side),Green Bean Provencal Salad (v),Salads/Deli (West Side),Carrot & Raisin Salad (v),Salads/Deli (West Side)
Cornbread (v),Potato Roll (v),Bakery,Raisin Rum Rice Pudding (v),Bakery,Kale Arugula Salad with Cranberry (vgn),Salads/Deli (West Side),Yogurt Potato Salad (v),Salads/Deli (West Side)
Ginger Cookie (v),Donut Muffin (v),Bakery,Strawberry Shortcake (v),Bakery,Chocolate Flan Cake (v),Bakery,Pecan Pie Bar (w/nuts) (v),Bakery
Teriyaki Chicken,Pork Loin Roast,Blue Plate Special,Salisbury Steaks,Blue Plate Special,Cauliflower and Broccoli (vgn),Blue Plate Special,Pork Loin Roast with Garlic & Ginger,Blue Plate Special
Steamed Vegetables & Rice (vgn),Baked Sweet Potato (vgn),Blue Plate Special,Mixed Vegetables (vgn),Blue Plate Special,Wild Rice Pilaf (vgn),Blue Plate Special,Tilapia w/Red Curry Sauce & Rice,Blue Plate Special
Ground Beef Soft Taco,"Potato ""Chorizo"" Burrito (vgn)",Taqueria (East Side),Beef and Bean Burrito,Taqueria (East Side),Chicken Fried Taco,Taqueria (East Side),Bean & Rice Wet Burrito (vgn),Taqueria (East Side)
Vegetable Corn Taco (vgn),Chicken Mole Taco,Taqueria (East Side),Chicken Bean & Rice Burrito,Taqueria (East Side),Bean and Cheese Hard Shell Taco (v),Taqueria (East Side),Quesadilla w/Roasted Poblano Chile (v),Taqueria (East Side)
Vegetable & Jalapeno Pizza on Wheat (v),Pineapple Pizza (v),Pizza,Pesto Artichoke Pizza (v),Pizza,Bacon Jalapeno Pizza,Pizza,Pineapple Pizza on Wheat (v),Pizza
Spicy Basil Beef,Cheese Tortellini with Marinara,To Order,Whole Grain Rotini (vgn),To Order,Kung Pao Pork with Peanuts (w/nuts),To Order,Tofu Veggie Pad Thai w/Peanut(w/nuts)(v),To Order
Pesto Bread (v),Chocolate Cherry Bread (v),Bakery,Whole Wheat Sourdough Bread (v),Bakery,Pesto Rolls (v),Bakery,Cinnamon Roll (v),Bakery
Spice & Walnut Cake (w/nuts) (v),Banana Cream Pie (v),Bakery,Bran Muffin (v),Bakery,Raspberry Cream Coffee Cake (w/nuts) (v),Bakery,Peanut Butter Bar (w/nuts) (v),Bakery
Turkey Sub Sandwich,Chipotle Beef Wrap,Blue Plate Special,Italian Chopped Sandwich,Blue Plate Special,Chicken Caesar Sandwich on Focaccia,Blue Plate Special,Chicken Philly Sandwich,Blue Plate Special
Baby Carrots with Tarragon (vgn),Herb & Garlic Crusted Tilapia,Blue Plate Special,Crookneck Squash & Herbs (vgn),Blue Plate Special,Kale/Peppers and Garlic (vgn),Blue Plate Special,Herbed Rotisserie Chicken w/Beet Dip,Blue Plate Special
Chicken Brown Rice Soup,Minestrone Soup (vgn),Blue Plate Special,Spicy Black Bean Soup (vgn),Blue Plate Special,Lentil Soup (vgn),Blue Plate Special,Potato Leek Soup (v),Blue Plate Special
French Cut Green Beans (vgn),Baked Potato (vgn),Blue Plate Special,Spinach with Fresh Garlic & Ginger (vgn),Blue Plate Special,Mashed Red Potatoes (v),Blue Plate Special,Fresh Vegetable Medley (vgn),Blue Plate Special
Chicken Bean & Rice Burrito,Chicken Mole Taco,Taqueria (East Side),Vegetable Corn Taco (vgn),Taqueria (East Side),Bean and Cheese Hard Shell Taco (v),Taqueria (East Side),Quesadilla w/Roasted Poblano Chile (v),Taqueria (East Side)
Bean & Rice Tostada (vgn),Black Bean & Rice Tostada (vgn),Taqueria (East Side),Refried Black Beans (vgn),Taqueria (East Side),Corn Tortilla (vgn),Taqueria (East Side),Rice with Cilantro & Onions (vgn),Taqueria (East Side)
Ranchero Salsa (vgn),Black Bean Salsa (vgn),Taqueria (East Side),Papaya Salsa (vgn),Taqueria (East Side),Fire Roasted Tomato Salsa (vgn),Taqueria (East Side),Avocado Salsa (vgn),Taqueria (East Side)
Penne with Chicken & Mushrooms,Sesame Chicken Stir Fry,To Order,Korean Beef Stir Fry with Rice,To Order,Tofu Vegetable Stir Fry (vgn),To Order,Sweet & Sour Chicken Stir Fry,To Order
Salsa Salad (vgn),Kale Arugula Salad with Cranberry (vgn),Salads/Deli (West Side),Broccoli Almond Salad (w/nuts) (v),Salads/Deli (West Side),Egg Salad (v),Salads/Deli (West Side),Chinese Chicken Salad (w/nuts),Salads/Deli (West Side)
Italian Cream Cake (v),Zucchini Cake w/Cr Chz Icing (w/nuts)(v),Bakery,White Cake with Chocolate Frosting (v),Bakery,Kahlua Chocolate Cake (v),Bakery,Raspberry Cream Coffee Cake (w/nuts) (v),Bakery
Chicken Vegetable Soup,Beef Noodle Soup,Blue Plate Special,New England Clam Chowder,Blue Plate Special,Potato Leek Soup (v),Blue Plate Special,Lentil Soup (vgn),Blue Plate Special
Turkey Pastrami & Mozzarella Sandwich,Ham Sandwich on Whole Wheat,Blue Plate Special,Grilled Chicken Vincenza Sandwich,Blue Plate Special,BBQ Chicken Sandwich,Blue Plate Special,Roasted Pork Loin Sandwich w/Gouda,Blue Plate Special
Italian Vegetable Stir Fry (vgn),Cheesy Pasta Casserole (v),Blue Plate Special,Lasagna,Blue Plate Special,Spinach and Matzo Walnut Lasagna(w/nuts),Blue Plate Special,Mediterranean Orzo Pasta (v),Blue Plate Special
Assorted Meat Pizza,Pineapple Pizza (v),Pizza,Vegetable & Jalapeno Pizza on Wheat (v),Pizza,Bacon Jalapeno Pizza,Pizza,Pineapple Pizza on Wheat (v),Pizza
Pineapple Pizza on Wheat (v),Pineapple Pizza (v),Pizza,Vegetable & Jalapeno Pizza on Wheat (v),Pizza,Bacon Jalapeno Pizza,Pizza,Assorted Meat Pizza,Pizza
Matzo Brei (v),Cage Free Scrambled Greek Eggs (v),Grill (Cafe),Cage Free Scrambled Eggs w/Bacon &Cheese,Grill (Cafe),Grilled Ham & Cheddar on Wheat,Grill (Cafe),Chicken Sausage Patty,Grill (Cafe)
Cinnamon and Sugar Muffin (v),Sticky Bun (w/nuts) (v),Bakery,Coconut Chiffon Cake (v),Bakery,French Peach Crumb Pie (w/nuts) (vgn),Bakery,Yellow Cupcake w/Chocolate Ganache (v),Bakery
Raisin Buttermilk Scone (v),Fresh Strawberry Pie,Bakery,Chocolate Chip Cake (v),Bakery,Strawberry Muffin (v),Bakery,French Peach Crumb Pie (vgn),Bakery
Far East Vegetable Soup (vgn),White Bean Basque Soup (vgn),Blue Plate Special,Chickpea Vegetable Soup (vgn),Blue Plate Special,Manhattan Clam Chowder,Blue Plate Special,Chili Style Lentil Soup (vgn),Blue Plate Special
Mediterranean Orzo Pasta (v),Spinach and Matzo Walnut Lasagna(w/nuts),Blue Plate Special,Lasagna,Blue Plate Special,Cheesy Pasta Casserole (v),Blue Plate Special,Italian Vegetable Stir Fry (vgn),Blue Plate Special
Chicken Tostada,Bean & Cheese Sope (v),Taqueria (East Side),Bean and Cheese Tostada (v),Taqueria (East Side),Huevos Rancheros (v),Taqueria (East Side),Pork Morisqueta,Taqueria (East Side)
Chile Corn Zucchini Soft Taco (vgn),Chili Lime Grilled Chicken Taco,Taqueria (East Side),Chicken and Bean Burrito,Taqueria (East Side),Tofu Mole Enchilada (vgn),Taqueria (East Side),Chicken Bean & Rice Burrito,Taqueria (East Side)
Beef Pad Thai with Peanuts (w/nuts),Tofu Veggie Pad Thai w/Peanut(w/nuts)(v),To Order,Goan Beef Curry w/Coconut Milk,To Order,Kung Pao Pork with Peanuts (w/nuts),To Order,Whole Grain Rotini (vgn),To Order
Tofu Veggie Pad Thai w/Peanut(w/nuts)(v),Goan Beef Curry w/Coconut Milk,To Order,Kung Pao Pork with Peanuts (w/nuts),To Order,Beef Pad Thai with Peanuts (w/nuts),To Order,Whole Grain Rotini (vgn),To Order
Cage Free Scrambled Greek Eggs (v),Grilled Ham & Cheddar on Wheat,Grill (Cafe),Matzo Brei (v),Grill (Cafe),Cage Free Scrambled Eggs w/Bacon &Cheese,Grill (Cafe),Chicken Sausage Patty,Grill (Cafe)
BBQ Chicken Sandwich,Grilled Chicken Vincenza Sandwich,Blue Plate Special,Roasted Pork Loin Sandwich w/Gouda,Blue Plate Special,Philly Cheese Steak Sandwich,Blue Plate Special,Ham Sandwich on Whole Wheat,Blue Plate Special
Carrots & Broccoli (vgn),Buttermilk Fried Chicken,Blue Plate Special,Beef Gravy,Blue Plate Special,Steamed Carrots & Zucchini (vgn),Blue Plate Special,Bok Choy with Garlic & Ginger (vgn),Blue Plate Special
Fish Taco,Beef Hard Shell Taco,Taqueria (East Side),BBQ Chicken Quesadilla,Taqueria (East Side),Beef Enchilada,Taqueria (East Side),Chipotle Tempeh Tacos (vgn),Taqueria (East Side)
Black Bean Tostada (vgn),Chicken Fajitas,Taqueria (East Side),Beef Tostada,Taqueria (East Side),Chicken Entomatadas,Taqueria (East Side),Chicken Sope,Taqueria (East Side)
Papaya Salsa (vgn),Black Bean Salsa (vgn),Taqueria (East Side),Ranchero Salsa (vgn),Taqueria (East Side),Fire Roasted Tomato Salsa (vgn),Taqueria (East Side),Avocado Salsa (vgn),Taqueria (East Side)
BBQ Chicken Pizza,Pineapple Pizza (v),Pizza,Vegetable & Jalapeno Pizza on Wheat (v),Pizza,Bacon Jalapeno Pizza,Pizza,Pineapple Pizza on Wheat (v),Pizza
Creamy Pesto Sauce (v),White Clam Sauce,To Order,Creamy Bolognese Sauce,To Order,Mushroom Marinara Sauce (vgn),To Order,Meat Sauce,To Order
Chicken Corn Dog,Diced Potatoes with Onions (vgn),Grill (Cafe),Vegetable Frittata (v),Grill (Cafe),Cage Free Scrambled Eggs Vegetables (v),Grill (Cafe),Sliced Potato with Onions (vgn),Grill (Cafe)
Chinese Chicken Salad (w/nuts),Kale Arugula Salad with Cranberry (vgn),Salads/Deli (West Side),Broccoli Almond Salad (w/nuts) (v),Salads/Deli (West Side),Egg Salad (v),Salads/Deli (West Side),Yogurt Potato Salad (v),Salads/Deli (West Side)
Onion Roll (v),Strawberry Bread (v),Bakery,Olive Roll (v),Bakery,Whole Wheat Banana Bread (v),Bakery,Hawaiian Sweet Bread (v),Bakery
Raisin Rum Rice Pudding (v),Cornbread (v),Bakery,Potato Roll (v),Bakery,Marinated Green Beans Salad (vgn),Salads/Deli (West Side),Asian Spinach Salad (vgn),Salads/Deli (West Side)
Tilapia w/Red Curry Sauce & Rice,Mixed Vegetables (vgn),Blue Plate Special,Wild Rice Pilaf (vgn),Blue Plate Special,Steamed Vegetables & Rice (vgn),Blue Plate Special,Baked Sweet Potato (vgn),Blue Plate Special
Steamed Zucchini (vgn),Fresh Broccoli Spears (vgn),Blue Plate Special,Tri Tip Roast,Blue Plate Special,Fresh Sauteed Carrots (vgn),Blue Plate Special,Chicken Madeira,Blue Plate Special
Korean Beef Stir Fry with Rice,Sesame Chicken Stir Fry,To Order,Tofu Vegetable Stir Fry (vgn),To Order,Penne with Chicken & Mushrooms,To Order,Teriyaki Tofu Stir Fry (vgn),To Order
Veggie Stir Fry w/Thai Chili Sauce (vgn),Lemon Ginger Tofu Stir Fry (vgn),To Order,Spicy Veg. Stir Fry w/Brown Rice (vgn),To Order,Wheat Pasta w/Tomato & Basil (vgn),To Order,Turkey Stir Fry with Brown Rice,To Order
Broccoli Almond Salad (w/nuts) (v),Kale Arugula Salad with Cranberry (vgn),Salads/Deli (West Side),Marinated Green Beans Salad (vgn),Salads/Deli (West Side),Asian Spinach Salad (vgn),Salads/Deli (West Side),Egg Salad (v),Salads/Deli (West Side)
Devil's Food Cupcake w/Mocha Icing(v),French Peach Crumb Pie (vgn),Bakery,Mint Chocolate Chip Cookie (vgn),Bakery,Raisin Buttermilk Scone (v),Bakery,Strawberry Shortcake (v),Bakery
Bread Pudding with Whiskey Sauce (v),Whole Wheat Sourdough Bread (v),Bakery,Banana Nut Bread (w/nuts) (v),Bakery,Cranberry Orange Bread (w/nuts) (v),Bakery,Chorizo Breakfast Burrito,Grill (Cafe)
Chocolate Cherry Bread (v),Cinnamon Roll (v),Bakery,Banana Nut Bread (w/nuts) (v),Bakery,Whole Wheat Sourdough Bread (v),Bakery,Cranberry Orange Bread (w/nuts) (v),Bakery
Roasted Pork Loin Sandwich w/Gouda,BBQ Chicken Sandwich,Blue Plate Special,Grilled Chicken Vincenza Sandwich,Blue Plate Special,Philly Cheese Steak Sandwich,Blue Plate Special,Ham Sandwich on Whole Wheat,Blue Plate Special
Braised Brisket Taco,Beef and Bean Burrito,Taqueria (East Side),Black Bean and Rice Burrito (vgn),Taqueria (East Side),Bean & Rice Wet Burrito (vgn),Taqueria (East Side),Ground Beef Soft Taco,Taqueria (East Side)
Green Rice (vgn),Grilled Vegetable Tostada (vgn),Taqueria (East Side),Sweet Corn Tamale Casserole (vgn),Taqueria (East Side),Refried Beans (vgn),Taqueria (East Side),Yellow Rice (vgn),Taqueria (East Side)
Greek Pizza (v),Pineapple Pizza (v),Pizza,Salami Pizza,Pizza,Three Cheese & Olive Pizza (v),Pizza,Pesto Artichoke Pizza (v),Pizza
Sesame Chicken Stir Fry,Penne with Chicken & Mushrooms,To Order,Korean Beef Stir Fry with Rice,To Order,Teriyaki Tofu Stir Fry (vgn),To Order,Wheat Penne Pasta (vgn),To Order
Spicy Vegetable Stir Fry (vgn),Pasta Primavera (vgn),To Order,Pasta Carbonara,To Order,Sweet & Sour Tofu Stir Fry (vgn),To Order,Ginger Beef Stir Fry,To Order
Grilled Mozzarella & Tomato on Wheat (v),Shoestring French Fries (vgn),Grill (Cafe),Chilaquiles de Queso (No Egg) (v),Grill (Cafe),Grilled Jack on Sourdough (v),Grill (Cafe),Blintz with Strawberry Compote (v),Grill (Cafe)
Apple Blu Cheese Walnut Salad(w/nuts)(v),German Potato Salad,Salads/Deli (West Side),Marinated Italian Vegetable Salad (vgn),Salads/Deli (West Side),Jicama Salad (vgn),Salads/Deli (West Side),Macaroni Salad (v),Salads/Deli (West Side)
