Food Item,Rec 1,Rec 1 Location,Rec 2,Rec 2 Location,Rec 3,Rec 3 Location,Rec 4,Rec 4 Location
Oatmeal (vgn),Sausage Biscuits & Gravy,Grill (Cafe),Fluffy Whole Wheat Waffles (v),Grill (Cafe),Whole Wheat French Toast (v),Grill (Cafe),Make Your Own Waffle (v),Grill (Cafe)
Bacon,Grilled Tuna & Swiss on Sourdough,Grill (Cafe),Machaca de Jalisco Eggs,Grill (Cafe),Grits (vgn),Grill (Cafe),Cage Free Eggs Scrambled (v),Grill (Cafe)
Apple Crepe w/Caramel Sauce,Falafel on Pita with Raita Sauce (v),Grill (Cafe),Chicharron en Salsa Verde,Grill (Cafe),Lemon Bread (v),Bakery,Egg Drop Soup,Grill (Cafe)
Hash Browns (vgn),Grilled Ham with Honey Glaze,Grill (Cafe),Shrimp Sopes w/Roasted Poblano Crema,Grill (Cafe),Sopa de Lima,Grill (Cafe),Hot Dog,Grill (Cafe)
Cage Free Eggs Scrambled (v),Cage Free Scrambled Egg Whites (v),Grill (Cafe),Grits (vgn),Grill (Cafe),Grilled Swiss & Tomato on Wheat (v),Grill (Cafe),Shoestring Fries (vgn),Grill (Cafe)
Cage Free Scrambled Egg Whites (v),Cage Free Eggs Scrambled (v),Grill (Cafe),Grits (vgn),Grill (Cafe),Grilled Swiss & Tomato on Wheat (v),Grill (Cafe),Shoestring Fries (vgn),Grill (Cafe)
Fluffy Whole Wheat Waffles (v),Sausage Biscuits & Gravy,Grill (Cafe),Oatmeal (vgn),Grill (Cafe),Whole Wheat French Toast (v),Grill (Cafe),Make Your Own Waffle (v),Grill (Cafe)
Apple Bishop's Coffee Cake (v),Chocolate Chip Cake Kahlua (v),Bakery,Yellow Cake with Chocolate Icing (v),Bakery,Banana Choc Chip Muffin (v),Bakery,Raspberry Scone (v),Bakery
Lemon Poppyseed Muffin (v),Toll House Bar (vgn),Bakery,Carrot Muffin (vgn),Bakery,Boston Cream Pie (v),Bakery,Tres Leches Cake (v),Bakery
Sliced Roast Beef,Sliced Cheddar Cheese (v),Deli,Sliced Pepper Jack Cheese (v),Deli,Sliced Turkey,Deli,Sliced Pastrami,Deli
Sliced Turkey Pastrami,Sliced Provolone Cheese (v),Deli,Sliced Genoa Salami,Deli,Hummus (vgn),Deli,Coleslaw (v),Deli
Sliced Provolone Cheese (v),Sliced Turkey Pastrami,Deli,Sliced Genoa Salami,Deli,Hummus (vgn),Deli,Coleslaw (v),Deli
Sliced Cheddar Cheese (v),Sliced Roast Beef,Deli,Sliced Pepper Jack Cheese (v),Deli,Sliced Turkey,Deli,Sliced Pastrami,Deli
Valenciana Paella,Beef Chop Suey,Mongolian Grill,Tofu Veggie Pad Thai w/Peanut(w/nuts)(v),Mongolian Grill,Chicken General Tso's,Mongolian Grill,Chicken Coconut & Peanut Curry (w/nuts),Mongolian Grill
Kale & Arugula Salad w/Cranberries (vgn),Spicy Kale Caesar Salad (v),Salads,Ambrosia Salad,Salads,Chicken Caesar Salad,Salads,Italian Tossed Greens (vgn),Salads
Asian Noodle Salad (vgn),Three Bean Salad (vgn),Salads,Asparagus w/Lemon & Matzo Salad (v),Salads,Italian Tossed Greens (vgn),Salads,French Potato Salad (vgn),Salads
Philly Cheese Steak Sandwich,BBQ Chicken Sandwich,Euro,Black Bean Enchilada (v),Euro,Spicy Meatball Sandwich,Euro,Cactus Taco (v),Euro
Garlic Mushroom Turnover (v),Chili Black Bean (vgn),Euro,Roast Beef,Euro,Steamed Carrots (vgn),Euro,Mushroom Gravy,Euro
Corn (vgn),Fresh Green Beans (vgn),Euro,Oven Roasted Red Potatoes (vgn),Euro,Marinated Italian Vegetable Salad (vgn),Euro,Risotto with Fresh Vegetables (vgn),Euro
Indian Lentils w/Long Grain Rice (vgn),Fresh Corn on the Cob (vgn),Euro,Potato Garlic Mashed (v),Euro,Baked Acorn Squash (v),Euro,Steamed Vegetables & Brown Rice (vgn),Euro
Sausage Pizza,Vegetable & Jalapeno Pizza on Wheat (v),Pizza,Pepperoni Pizza,Pizza,Three Cheese Pizza on Wheat (v),Pizza,Pineapple & Jalapeno Pizza on Wheat (v),Pizza
Pineapple & Jalapeno Pizza on White (v),Quattro Formaggio Pizza on Wheat (v),Pizza,Tomato Basil Pizza on White (v),Pizza,Salami Pizza,Pizza,Tomato Basil Pizza on Wheat (v),Pizza
Cheese Pizza on White (v),Sausage Mushroom Pizza,Pizza,Black Olive Pizza on Wheat (v),Pizza,Olive Mushroom Pizza on Wheat (v),Pizza,Vegetable Pizza on Wheat (v),Pizza
Chicken Noodle Soup,Chickpea Vegetable Soup (vgn),Grill (Cafe),Cream of Parsley Soup w/Horseradish (v),Grill (Cafe),Thai Tom Ka Soup w/Tofu (vgn),Grill (Cafe),Danish Cauliflower Cheese Soup (v),Grill (Cafe)
Cheeseburger,Corn Quesadilla (v),Grill (Cafe),Grass Fed Burger,Grill (Cafe),Gardenburger (v),Grill (Cafe),Grilled Chicken Burger,Grill (Cafe)
Black Bean Burger (vgn),Grilled Chicken Burger,Grill (Cafe),Grass Fed Burger,Grill (Cafe),Breakfast Burrito (v),Grill (Cafe),Grilled Vegetable Burger (vgn),Grill (Cafe)
Grilled Turkey & Swiss on Sourdough,Pozole with Condiments,Grill (Cafe),Arroz con Leche (v),Grill (Cafe),Chicken Taquito,Grill (Cafe),Beefy Eggs Machaca,Grill (Cafe)
Krinkle Cut Fries (vgn),Canadian Bacon,Grill (Cafe),Cage Free Scrambled Eggs with Cheese (v),Grill (Cafe),Egyptian Fava Bean Falafel on Pita (v),Grill (Cafe),Chilaquiles (No Egg) (v),Grill (Cafe)
Black Beans (vgn),Baked Sweet Potato (vgn),Grill (Cafe),Chicken Chile Verde and Corn Tortillas,Grill (Cafe),Potato Taquito (v),Grill (Cafe),Fried Potatoes with Onions (vgn),Grill (Cafe)
Baked Potato (vgn),Potato Taquito (v),Grill (Cafe),Baked Sweet Potato (vgn),Grill (Cafe),Black Beans (vgn),Grill (Cafe),Wild and Long Grain Rice Blend (vgn),Grill (Cafe)
Baked Sweet Potato (vgn),Black Beans (vgn),Grill (Cafe),Chicken Chile Verde and Corn Tortillas,Grill (Cafe),Potato Taquito (v),Grill (Cafe),Fried Potatoes with Onions (vgn),Grill (Cafe)
Long Grain Rice (vgn),Diced Potatoes (vgn),Grill (Cafe),Ginger Basmati Rice (vgn),Grill (Cafe),Mexican Rice (vgn),Grill (Cafe),Mexican Crispy Roasted Potatoes (v),Grill (Cafe)
Cheese Roll (v),Whole Wheat Sourdough Bread (v),Bakery,Ricotta Pepper Bread (v),Bakery,Strawberry Bread (v),Bakery,Raisin Bread with Glaze (v),Bakery
Panna Cotta,Chocoflan (v),Bakery,Apple Matzo Kugel (w/nuts) (v),Bakery,Pumpkin Crisp (v),Bakery,Pao de Queijo (v),Bakery
Chocolate Chip Cookie (v),Chocolate Chip Cake Kahlua (v),Bakery,Yellow Cake with Chocolate Icing (v),Bakery,Banana Choc Chip Muffin (v),Bakery,Raspberry Scone (v),Bakery
Greek Pasta Salad (v),Pork Stir Fry with Green Beans,Mongolian Grill,Stir Fry Vegetables (vgn),Euro,Linguini Pasta (vgn),Pasta,Rotini Pasta (vgn),Pasta
Spinach Salad with Honey Dressing (v),Brazilian Black Bean Salad (vgn),Deli,Greek Eggplant Salad (vgn),Deli,Roasted Vegetables (vgn),Deli,Couscous Salad with Tomato & Herb (v),Deli
Sticky Rice (vgn),Teriyaki Chicken Rice Bowl,Mongolian Grill,Brown Rice (vgn),Mongolian Grill,Vegetable Tagine (vgn),Mongolian Grill,Vegetable Chow Mein (vgn),Mongolian Grill
Chicken Coconut & Peanut Curry (w/nuts),Chicken General Tso's,Mongolian Grill,Tofu Veggie Pad Thai w/Peanut(w/nuts)(v),Mongolian Grill,Seitan Shawarma (vgn),Mongolian Grill,Valenciana Paella,Mongolian Grill
Tofu Vegetable Coconut Curry (vgn),Spicy Tofu w/Vegetables & Noodles (vgn),Mongolian Grill,Rice with Cilantro & Onions (vgn),Mongolian Grill,Rice Noodles with Black Bean Sauce (vgn),Mongolian Grill,Vegetable Yakisoba (v),Mongolian Grill
Cream of Broccoli Soup (v),Chicken Rice Soup,Mongolian Grill,Ham & Navy Bean Soup,Mongolian Grill,Spaghetti Soup (vgn),Mongolian Grill,Fasolada Soup (vgn),Mongolian Grill
Caesar Salad,Passover Quinoa Salad (vgn),Salads,Japanese Potato Salad,Salads,Italian Bread Salad (v),Salads,Carrot & Raisin Salad (v),Salads
Boneless Breaded Cajun Pork Chop,Red Salsa (vgn),Euro,Fire Roasted Tomato Chipotle Salsa (vgn),Euro,Rockfish with Red Curry Sauce,Euro,Guava Rum BBQ Sauce (vgn),Euro
Country Gravy,Turkey Pastitsio,Euro,Turkey Breast,Euro,Beef Gravy,Euro,Pork Balchao,Euro
Steamed Fresh Carrots (vgn),Fresh Mushroom Quiche (v),Euro,Chicken Shoyu,Euro,Turkey Gravy,Euro,Blackened Mahi Mahi,Euro
Fresh Vegetables Saute with Garlic (vgn),Risotto with Fresh Vegetables (vgn),Euro,Oven Roasted Red Potatoes (vgn),Euro,Corn (vgn),Euro,Fresh Green Beans (vgn),Euro
Mashed Potatoes with Herbs (v),Potato Latkes (v),Euro,Potatoes Au Gratin (v),Euro,Fresh Vegetables Saute with Garlic (vgn),Euro,Risotto with Fresh Vegetables (vgn),Euro
Linguini Pasta (vgn),Rotini Pasta (vgn),Pasta,Bowtie Pasta (vgn),Pasta,Penne Pasta (vgn),Pasta,Pasta Shells w/Eggplant & Marinara (vgn),Pasta
Red Clam Sauce,Fresh Basil Sauce (v),Pasta,Marinara Sauce with Sausage,Pasta,Meat Sauce,Pasta,Sun Dried Tomato Sauce (vgn),Pasta
Pasta Primavera (v),Rigatoni Pasta (vgn),Pasta,Whole Wheat Penne Pasta (vgn),Pasta,Spaghetti Pasta (vgn),Pasta,Angel Hair Pasta (vgn),Pasta
White Navy Beans (vgn),Garden Vegetable Marinara (vgn),Pasta,Fusilli with Roasted Vegetables (v),Pasta,Jasmine Rice (vgn),Pasta,Pinto Beans (vgn),Pasta
Rosemary Bread (v),Garlic French Bread (v),Bakery,Rosemary Roll (v),Bakery,Irish Soda Bread (v),Bakery,Raisin Bread with Glaze (v),Bakery
Blueberry Crumb Pie (vgn),Magic Walnut Cookie Bar (w/nuts) (v),Bakery,Riccotta Cheesecake w/Berry Compote (v),Bakery,Apple Crumb Pie (vgn),Bakery,Tres Leches Cake (v),Bakery
Cream of Wheat (vgn),Mardi Gras Eggs with Ham,Grill (Cafe),Cage Free Scrambled Eggs with Cheese (v),Grill (Cafe),Steak Ranchero,Grill (Cafe),Canadian Bacon,Grill (Cafe)
Chorizo and Eggs,Shrimp Sopes w/Roasted Poblano Crema,Grill (Cafe),Hash Browns (vgn),Grill (Cafe),Hot Dog,Grill (Cafe),Grilled Ham with Honey Glaze,Grill (Cafe)
Pancake (v),Strawberry Pancake (v),Grill (Cafe),Blueberry Pancake (v),Grill (Cafe),Whole Wheat Pancake (Housemade) (v),Grill (Cafe),Egg Ham & Cheese English Muffin Sandwich,Grill (Cafe)
Fried Potatoes with Onions (vgn),Chicken Chile Verde and Corn Tortillas,Grill (Cafe),Baked Sweet Potato (vgn),Grill (Cafe),Black Beans (vgn),Grill (Cafe),Potato Taquito (v),Grill (Cafe)
Make Your Own Waffle (v),French Toast (v),Grill (Cafe),Whole Wheat French Toast (v),Grill (Cafe),Thick French Toast (v),Grill (Cafe),Oatmeal (vgn),Grill (Cafe)
Danish Pastry (w/nuts) (v),Chocolate Macaroon (v),Bakery,Cranberry Almond Biscotti (w/nuts) (v),Bakery,Assorted Bagels & Condiments,Bakery,Baba au Rum (v),Bakery
Brunch Coffee Cake (v),Chocolate Chip Cake Kahlua (v),Bakery,Yellow Cake with Chocolate Icing (v),Bakery,Banana Choc Chip Muffin (v),Bakery,Raspberry Scone (v),Bakery
Sliced Genoa Salami,Sliced Provolone Cheese (v),Deli,Sliced Turkey Pastrami,Deli,Hummus (vgn),Deli,Coleslaw (v),Deli
Sliced Turkey,Sliced Pepper Jack Cheese (v),Deli,Sliced Pastrami,Deli,Sliced Ham,Deli,Coleslaw (v),Deli
Sliced Swiss Cheese (v),Sliced Smoked Gouda,Deli,Pita Chips (v),Deli,Sliced Jack Cheese (v),Deli,Hummus (vgn),Deli
Brown Rice (vgn),Vegetable Tagine (vgn),Mongolian Grill,Vegetable Chow Mein (vgn),Mongolian Grill,Green Curry Beef on Rice Noodle,Mongolian Grill,Vegetable Pad Thai (w/nuts) (vgn),Mongolian Grill
Pork Stir Fry with Green Beans,Ginger Beef Stir Fry,Mongolian Grill,Lemon Ginger Tofu Stir Fry (vgn),Mongolian Grill,Vegetable & Tofu Stir Fry (vgn),Mongolian Grill,Five Spice Vegetable Stir Fry (vgn),Mongolian Grill
Lemon Ginger Tofu Stir Fry (vgn),Ginger Beef Stir Fry,Mongolian Grill,Pork Stir Fry with Green Beans,Mongolian Grill,Vegetable & Tofu Stir Fry (vgn),Mongolian Grill,Five Spice Vegetable Stir Fry (vgn),Mongolian Grill
Quinoa Salad w/Lemon Herb Veggies (vgn),Chinese Broccoli Salad (vgn),Salads,Waldorf Walnut Salad (w/nuts) (v),Salads,French Potato Salad (vgn),Salads,Carrot & Raisin Salad (v),Salads
Spinach Pecan Bacon & Cran Salad (w/nut),Arugula Salad with Goat Cheese (v),Salads,Ensalada de Chivo (Salpicon Style Goat),Salads,Cucumber & Onion Salad (vgn),Salads,Gazpacho Salad (vgn),Salads
Herb Marinated Fish Taco,BBQ Beef Sandwich,Euro,Garden Burger Patty Melt (v),Euro,Chicken Chile Verde & Black Bean Burrito,Euro,Chicken Caesar Sandwich,Euro
Quesadilla (v),Smoked Pork Loin and Gouda Sandwich,Euro,Asian Fish Taco,Euro,Chicken Enchilada,Euro,Cactus Taco (v),Euro
Fresh Spinach with Garlic (vgn),Potato Vegetable Kugel (v),Euro,Polenta with Vegetables (vgn),Euro,Spanish Corn (v),Euro,Oven Browned Potatoes (vgn),Euro
Pepperoni Pizza,Vegetable & Jalapeno Pizza on Wheat (v),Pizza,Three Cheese Pizza on Wheat (v),Pizza,Pineapple & Jalapeno Pizza on Wheat (v),Pizza,Sausage Pizza,Pizza
Tomato Basil Pizza on Wheat (v),Salami Pizza,Pizza,Black Olive Pizza on Wheat (v),Pizza,Cheese Pizza on White (v),Pizza,Sausage Mushroom Pizza,Pizza
Cream of Tomato Basil Soup (v),Egg Drop Soup,Grill (Cafe),Gumbo Soup (vgn),Grill (Cafe),Greek Avgolemono Soup,Grill (Cafe),Carrot and Ginger Soup (vgn),Grill (Cafe)
Charburger,Grilled Chicken Taco,Grill (Cafe),Grilled Turkey Burger,Grill (Cafe),Gardenburger (v),Grill (Cafe),Corn Quesadilla (v),Grill (Cafe)
Grilled Vegetable Burger (vgn),Breakfast Burrito (v),Grill (Cafe),Reuben Sandwich,Grill (Cafe),Black Bean Burger (vgn),Grill (Cafe),Grilled Chicken Burger,Grill (Cafe)
Grilled Cheddar on Wheat (v),Steak Fries (vgn),Grill (Cafe),Pork Sisig,Grill (Cafe),Grilled Cheese Chile & Veggie on Sour(v,Grill (Cafe),Chilaquiles (No Egg) (v),Grill (Cafe)
Shoestring Fries (vgn),Grilled Swiss & Tomato on Wheat (v),Grill (Cafe),Cage Free Scrambled Egg Whites (v),Grill (Cafe),Cage Free Eggs Scrambled (v),Grill (Cafe),Grits (vgn),Grill (Cafe)
Wild and Long Grain Rice Blend (vgn),Cottage Fried Potatoes (vgn),Grill (Cafe),Potatoes O'Brien (vgn),Grill (Cafe),Baked Potato (vgn),Grill (Cafe),Home Fried Potatoes (vgn),Grill (Cafe)
Whole Wheat Roll (vgn),Whole Wheat Bread (v),Bakery,Chocolate Chip Banana Bread Pudding (v),Bakery,Jalapeno Cheddar Roll (v),Bakery,Parmesan Herb Bread (v),Bakery
Oatmeal Raisin Cookie (v),Bacon Cheddar Scone,Bakery,Lemon Bar (v),Bakery,Brownie Matzo (w/nuts) (v),Bakery,Carrot Cake (w/nuts) (v),Bakery
Rice Krispie Treat,Ginger with Cardamom Scone (v),Bakery,Blueberry Muffin (vgn),Bakery,Confetti Cake (v),Bakery,Banana Macadamia Nut Cake (w/nuts) (v),Bakery
Tortilla Chips and Salsa (vgn),Creamy Rosemary Sauce (v),Pasta,Cracked Wheat Bread (v),Bakery,Thai Sweet Chili Sauce (vgn),Mongolian Grill,Crispy Salmon Roll,Euro
Hummus (vgn),Sliced Genoa Salami,Deli,Sliced Provolone Cheese (v),Deli,Sliced Turkey Pastrami,Deli,Coleslaw (v),Deli
Pita Chips (v),Sliced Jack Cheese (v),Deli,Sliced Smoked Gouda,Deli,Hummus (vgn),Deli,Sliced Genoa Salami,Deli
Beef Broccoli & Mushroom Stir Fry,Tofu Vegetable Stir Fry (vgn),Mongolian Grill,Stir Fry Pork with Vegetables,Mongolian Grill,Chicken Stir Fry with Green Beans,Mongolian Grill,Chicken & Vegetable Stir Fry,Mongolian Grill
Vegetable & Tofu Stir Fry (vgn),Ginger Beef Stir Fry,Mongolian Grill,Pork Stir Fry with Green Beans,Mongolian Grill,Five Spice Vegetable Stir Fry (vgn),Mongolian Grill,Lemon Ginger Tofu Stir Fry (vgn),Mongolian Grill
Minestrone Soup (vgn),Vegetable Soup (vgn),Mongolian Grill,Fasolada Soup (vgn),Mongolian Grill,Potato Leek Soup (v),Mongolian Grill,Hearty Vegetable Soup (vgn),Mongolian Grill
Rockfish with Red Curry Sauce,Guava Rum BBQ Sauce (vgn),Euro,Fire Roasted Tomato Chipotle Salsa (vgn),Euro,Green Salsa (vgn),Euro,Boneless Breaded Cajun Pork Chop,Euro
Polenta with Vegetables (vgn),Spanish Corn (v),Euro,Potato Vegetable Kugel (v),Euro,Green Beans (vgn),Euro,Potato Gorda with Corn (v),Euro
Fresh Vegetable Medley (vgn),Roasted Potato Wedges (vgn),Euro,Oven Browned Potatoes (vgn),Euro,Basmati Rice with Peas (vgn),Euro,Refried Beans (vgn),Euro
Peas with Onions (vgn),Carrots with Fresh Thyme (vgn),Euro,Italian Quinoa (v),Euro,Pickled Radish - Fukujin Zuke (vgn),Euro,Cilantro Lime Salmon,Euro
Fettuccine with Mustard Chicken Sauce,Fresh Tomato Basil Sauce (vgn),Pasta,Chicken Sausage & Mushroom Sauce,Pasta,Spirals with Marinara Sauce (vgn),Pasta,Garlic & Caper Butter Sauce (v),Pasta
Wheat Penne Chard & Sun Dried Tomato(vgn,Fresh Tomato Basil Garlic Pasta (vgn),Pasta,Pasta Pronto (vgn),Pasta,Whole Wheat Pasta Rigate (vgn),Pasta,Pasta Carbonara,Pasta
Pinto Beans (vgn),Gnocchi Mushroom Corn & Sage Butter (v),Pasta,White Navy Beans (vgn),Pasta,Garden Vegetable Marinara (vgn),Pasta,Jasmine Rice (vgn),Pasta
Parmesan Herb Bread (v),Onion Bread (v),Bakery,Chocolate Chip Banana Bread Pudding (v),Bakery,Garlic Roll (v),Bakery,Sourdough Bread (vgn),Bakery
Very Chocolate Cake w/Chocolate Icing(v),Banana Macadamia Nut Cake (w/nuts) (v),Bakery,Blueberry Muffin (vgn),Bakery,Confetti Cake (v),Bakery,Ginger with Cardamom Scone (v),Bakery
Egg Ham & Cheese English Muffin Sandwich,Whole Wheat Pancake (Housemade) (v),Grill (Cafe),Pancake (v),Grill (Cafe),Blueberry Pancake (v),Grill (Cafe),Strawberry Pancake (v),Grill (Cafe)
Whole Wheat French Toast (v),Make Your Own Waffle (v),Grill (Cafe),Oatmeal (vgn),Grill (Cafe),French Toast (v),Grill (Cafe),Fluffy Whole Wheat Waffles (v),Grill (Cafe)
Bacon Cheddar Scone,Oatmeal Raisin Cookie (v),Bakery,Brownie Matzo (w/nuts) (v),Bakery,Lemon Bar (v),Bakery,Carrot Cake (w/nuts) (v),Bakery
Bran Muffin (v),Yellow Cake with Mocha Frosting (v),Bakery,Coconut Poke Cake (v),Bakery,Lemon Scone (vgn),Bakery,Raspberry White Chocolate Muffin (v),Bakery
Carrot Muffin (vgn),Toll House Bar (vgn),Bakery,Lemon Poppyseed Muffin (v),Bakery,Boston Cream Pie (v),Bakery,Carrot Cake (w/nuts) (v),Bakery
Sliced Ham,Coleslaw (v),Deli,Sliced Pastrami,Deli,Sliced Provolone Cheese (v),Deli,Sliced Turkey Pastrami,Deli
